"division_name","depot_name","division_id","depot_id","route_code","device_imei","event_location","event_date","speed","ignition_status","gps_status","main_battery_status","vehicle_status","running_status","vehicle_reg_no"
"SINDHUDURG","MALVAN","47","156"," ","869247044638549","MALVAN Depot","2020-06-27 00:02:58.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH13CU7904"
"OSMANABAD","OSMANABAD","37","187"," ","869247044591045","OSMANABAD Depot","2020-06-27 00:02:57.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH09EM9725"
"AURANGABAD","AURANGABAD II","5","19"," ","869247044538210","Guatam Nagar, Cantonment, Aurangabad, Maharashtra, 431002, India","2020-06-27 00:02:54.0","0","1","1","1","ON ROAD","stopEvent,locationEvent","MH20BL2363"
"KOLHAPUR","KOLHAPUR","25","117"," ","868997031720061","KOLHAPUR Depot","2020-06-27 00:02:54.0","0","0","1","1","ON ROAD","locationEvent,mainBatteryConnectAlert,stopEvent","MH14BT3396"
"THANE","BHIVANDI","51","48"," ","862818041632185","BHIVANDI Depot","2020-06-27 00:02:51.0","0","0","1","1","AT DWS","stopEvent,locationEvent","MH20BL1480"
"KOLHAPUR","GADHINGLAJ","25","79"," ","862818047832276","GADHINGLAJ Depot","2020-06-27 00:02:49.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH14BT2892"
"THANE","KALYAN","51","116"," ","869247044600978","KALYAN Depot","2020-06-27 00:02:46.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH13CU7410"
"MUMBAI","MUMBAI CENTRAL","32","142"," ","869247044593421","GANPATI MANDIR - Bus Stop","2020-06-27 00:02:46.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH13CU8143"
"SINDHUDURG","SAWANTWADI","47","258"," ","868997038101562","NH66, Kankavali, Sindhudurg, Maharashtra, 416602, India","2020-06-27 00:02:45.0","25.9","0","1","1","ON ROAD","locationEvent","MH20BL0429"
"OSMANABAD","OSMANABAD","37","187"," ","869247044641717","OSMANABAD Depot","2020-06-27 00:02:41.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH13CU7023"
"NANDED","KANDHAR","35","122"," ","862818047987039","Migarmata Mati Pani Prikshan Mini Lab Kandhar, SH222;SH223, Loha, Nānded, Nanded, Maharashtra, 431714, India","2020-06-27 00:02:41.0","0","0","1","1","ON ROAD","stopEvent,locationEvent,unauthorizedStopAlert","MH06S8581"
"LATUR","LATUR","29","140"," ","862818040411268","Mitra Nagar, Latur, Maharashtra, 413512, India","2020-06-27 00:02:40.0","0","0","1","0","AT DWS","locationEvent,stopEvent","MH20BL0189"
"JALGAON","CHOPADA","23","61"," ","862818047992112","CHOPADA Depot","2020-06-27 00:02:39.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH40N9826"
"AMRAVATI","MORSHI","3","165"," ","862818043696279","Amravati, Maharashtra, 444600, India","2020-06-27 00:02:39.0","0","0","1","1","ON ROAD","locationEvent","MH40N8635"
"SOLAPUR","SANGOLA","46","246"," ","862818047855152","NH166, Sangole, Solapur, Maharashtra, 413307, India","2020-06-27 00:02:38.0","0","0","1","1","ON ROAD","locationEvent,stopEvent,unauthorizedStopAlert","MH06S8410"
"THANE","VITTHAL WADI","51","286"," ","862818041632755","VITTHALWADI - Bus Stop","2020-06-27 00:02:38.0","0","0","1","0","ON ROAD","stopEvent,locationEvent","MH14BT3031"
"SINDHUDURG","VENGURLE","47","284"," ","869247045981914","Kankavali, Sindhudurg, Maharashtra, 416602, India","2020-06-27 00:02:38.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH20BL0425"
"AURANGABAD","AURANGABAD I","5","23"," ","869247044536446","Chhatrapati Shivaji Highway, N-2 Cidco, Cidco, Aurangabad, Maharashtra, 431002, India","2020-06-27 00:02:37.0","0","0","1","1","ON ROAD","unauthorizedStopAlert,locationEvent,stopEvent","MH13CU8457"
"NASIK","SINNAR","36","248"," ","867322030825103","SINNAR Depot","2020-06-27 00:02:37.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH14BT5003"
"MUMBAI","PAREL MUMBAI","32","205"," ","869247044537352","Kirol Road, L Ward, Zone 6, Mumbai, Mumbai Suburban, Maharashtra, 400070, India","2020-06-27 00:02:37.0","0","0","1","1","ON ROAD","locationEvent,stopEvent,unauthorizedStopAlert","MH09EM9473"
"JALGAON","YAWAL","23","296"," ","862818041741036","SH4, Yawal, जळगाव, Jalgaon, Maharashtra, India","2020-06-27 00:02:36.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH13CU8606"
"PUNE","SWARGATE","41","259"," ","868996034793240","Swargate, Pune, Pune District, Maharashtra, 411001, India","2020-06-27 00:02:36.0","0","0","1","1","ON ROAD","unauthorizedStopAlert,stopEvent,locationEvent","MH06S9484"
"SATARA","PATAN","50","214"," ","869247045976443","SATARA Depot","2020-06-27 00:02:35.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH14BT0393"
"PALGHAR","PALGHAR","40","194"," ","868997036864674","Palghar Rd, Palghar, Maharashtra, 401400, India","2020-06-27 00:02:35.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH06S9570"
"KOLHAPUR","CHANDGAD","25","53"," ","862818041645245","State Highway 131, Chandgad, Kolhapur, Maharashtra, India","2020-06-27 00:02:33.0","0","0","1","1","ON ROAD","locationEvent,stopEvent,unauthorizedStopAlert","MH14BT5048"
"KOLHAPUR","KAGAL","25","111"," ","862818047819679","Kagal, Kolhapur, Maharashtra, 416216, India","2020-06-27 00:02:33.0","0","0","1","1","ON ROAD","stopEvent,locationEvent,unauthorizedStopAlert","MH14BT1120"
"NASIK","KALWAN","36","137"," ","867322031130677","KALWAN FATA - Bus Stop","2020-06-27 00:02:32.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH14BT4531"
"RAIGAD","SHRIVARDHAN","43","231"," ","869247043726824","Shrivardhan, Kulāba, Konkan Division, Maharashtra, 402110, India","2020-06-27 00:02:31.0","0","0","1","1","ON ROAD","stopEvent,unauthorizedStopAlert,locationEvent","MH13CU6583"
"NASIK","SATANA","36","256"," ","867322030764476","MDR4, Kalwan, नाशिक, Nashik, Maharashtra, 423500, India","2020-06-27 00:02:29.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH20D8110"
"MUMBAI","KURLA NEHRU NAGAR","32","124"," ","869247044592811","PAREL - Bus Stop","2020-06-27 00:02:29.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH09EM9040"
"SATARA","PATAN","50","214"," ","869247046006497","KARAD Depot","2020-06-27 00:02:28.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH14BT0937"
"SOLAPUR","AKLUJ","46","6"," ","862818047775384","MDR79, Akluj, Solapur, Maharashtra, 413101, India","2020-06-27 00:02:27.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH14BT3588"
"RATNAGIRI","KHED","44","112"," ","869247044592217","SH104, Khed, Kulāba, Konkan Division, Maharashtra, 415709, India","2020-06-27 00:02:25.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH09FL0170"
"SOLAPUR","KURDUWADI","46","136"," ","869247045976492","Kurduvadi, Solapur, Maharashtra, 413230, India","2020-06-27 00:02:24.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH14BT4865"
"MUMBAI","MUMBAI CENTRAL","32","142"," ","869247044537303","MUMBAI CENTRAL Depot","2020-06-27 00:02:23.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH13CU8429"
"SANGLI","PALUS","45","201"," ","862818040351548","Kirloskarwadi, Palus, Sangli district, Maharashtra, India","2020-06-27 00:02:23.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH14BT4236"
"OSMANABAD","TULJAPUR","37","264"," ","869247043726543","Kinwat, Nanded, Maharashtra, 431804, India","2020-06-27 00:02:22.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH13CU7056"
"SINDHUDURG","KUDAL","47","110"," ","868996035031293","KUDAL Depot","2020-06-27 00:02:22.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH20BL0861"
"AMRAVATI","PARATWADA","3","211"," ","862818040406490","NH353J, Paratwada, Amravati, Maharashtra, 444800, India","2020-06-27 00:02:21.0","0","1","1","1","ON ROAD","stopEvent,locationEvent","MH40AQ6165"
"PARBHANI","GANGAKHED","38","83"," ","869247044641337","NH752K;361F, Gangakhed, Parbhani, Maharashtra, 431514, India","2020-06-27 00:02:18.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH13CU7924"
"NASIK","NANDGAON","36","177"," ","867322030905079","SH25, Nandgaon, नाशिक, Nashik, Maharashtra, 423106, India","2020-06-27 00:02:18.0","0","1","1","1","ON ROAD","locationEvent,unauthorizedStopAlert,stopEvent","MH11BL9330"
"SANGLI","VITA","45","280"," ","869247045739775","VITA Depot","2020-06-27 00:02:18.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH14BT3613"
"OSMANABAD","TULJAPUR","37","264"," ","862818048063871","TULJAPUR Depot","2020-06-27 00:02:17.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH20BL4239"
"CHANDRAPUR","CHIMUR","14","58"," ","862818041651664","CHIMUR - Bus Stop","2020-06-27 00:02:17.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH40BL3988"
"NAGPUR","RAMTEK","34","226"," ","862818043695404","REMTEK BUS - Bus Stop","2020-06-27 00:02:17.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH40N8813"
"NANDED","KANDHAR","35","122"," ","869247044584859","18.875480, 77.183510","2020-06-27 00:02:16.0","0","0","1","1","ON ROAD","stopEvent,unauthorizedStopAlert,locationEvent","MH13CU7958"
"AHMADNAGAR","SANGAMNER","4","244"," ","862818040401459","SANGAMNER Depot","2020-06-27 00:02:16.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH07C7103"
"RAIGAD","SHRIVARDHAN","43","231"," ","869247045897961","MANGAON - Bus Stop","2020-06-27 00:02:16.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH14BT0245"
"MUMBAI","KURLA NEHRU NAGAR","32","124"," ","867322031071210","PANVEL Depot","2020-06-27 00:02:15.0","0","0","1","0","ON ROAD","stopEvent,locationEvent","MH14BT1969"
"AHMADNAGAR","TARAKPUR","4","265"," ","869247044490925","Chhatrapati Shivaji Highway, N-2 Cidco, Cidco, Aurangabad, Maharashtra, 431002, India","2020-06-27 00:02:15.0","27.4","1","1","1","ON ROAD","locationEvent","MH12EF6371"
"SATARA","PHALTAN","50","195"," ","869247045902373","Union Bank, Ring Road, MSEB Colony, Phaltan, Satara, Maharashtra, 415523, India","2020-06-27 00:02:14.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH14BT0953"
"NASIK","NASIK I","36","181"," ","867322030931547","NASIK I Depot","2020-06-27 00:02:13.0","4.1","1","1","1","ON ROAD","locationEvent","MH40N8833"
"RAIGAD","ROHA","43","224"," ","869247044536990","Roha Bus Station, SH60, Roha, Kulāba, Raigad, Maharashtra, 402105, India","2020-06-27 00:02:13.0","0","0","1","1","ON ROAD","locationEvent,stopEvent,unauthorizedStopAlert","MH13CU6896"
"MUMBAI","PANVEL","32","203"," ","867322031048267","PANVEL Depot","2020-06-27 00:02:12.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH20BL1535"
"PALGHAR","BOISAR","40","47"," ","862818041631641","Boisar, Palghar, Maharashtra, 401501, India","2020-06-27 00:02:11.0","0","1","1","1","ON ROAD","stopEvent,locationEvent","MH14BT0168"
"BHANDARA","GONDIA","9","82"," ","862818043696345","GONDIA - Bus Stop","2020-06-27 00:02:10.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH40BL3989"
"RATNAGIRI","RATNAGIRI","44","227"," ","869247044594288","BAMBAR - Bus Stop","2020-06-27 00:02:07.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH09FL0375"
"PARBHANI","BASMAT","38","46"," ","869247044610688","Basmat, Hingoli, Maharashtra, 431512, India","2020-06-27 00:02:04.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH13CU7537"
"AHMADNAGAR","TARAKPUR","4","265"," ","869247044596986","TARAKPUR Depot","2020-06-27 00:02:03.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH06S8452"
"THANE","THANE I","51","262"," ","868997031719683","Shree Nateshwar Mahadev Mandir Marg, Dnyaneshwar Nagar, Naupada, Thane, Maharashtra, 400606, India","2020-06-27 00:02:03.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH06S9539"
"MUMBAI","PANVEL","32","203"," ","862818041740681","PANVEL Depot","2020-06-27 00:02:03.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH07C7297"
"SINDHUDURG","DEOGAD","47","63"," ","869247044592498","DEOGAD Depot","2020-06-27 00:02:02.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH09EM9607"
"SANGLI","SANGLI","45","233"," ","867322031204217","SANGLI Depot","2020-06-27 00:01:59.0","0","1","1","1","ON ROAD","stopEvent,locationEvent","MH14BT1255"
"SANGLI","JAT","45","100"," ","869247045901870","JAT Depot","2020-06-27 00:01:59.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH07C7361"
"SOLAPUR","SOLAPUR","46","242"," ","869247045950075","Ajmera, Pune, Pune District, Maharashtra, 411001, India","2020-06-27 00:01:58.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH14GU2673"
"BEED","BEED","6","26"," ","869247044597901","BEED Depot","2020-06-27 00:01:58.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH13CU7405"
"DHULE","SHINDKHEDA","15","245"," ","862818048063509","Sindkheda, Dhule, Maharashtra, 425406, India","2020-06-27 00:01:57.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH14BT1727"
"KOLHAPUR","KAGAL","25","111"," ","862818047809019","Kagal, Kolhapur, Maharashtra, 416216, India","2020-06-27 00:01:55.0","0","0","1","1","ON ROAD","locationEvent,unauthorizedStopAlert,stopEvent","MH14BT0916"
"KOLHAPUR","MALKAPOOR","25","155"," ","869247045976740","NH166, Malkapur, Shahuwadi, Kolhapur, Maharashtra, 415101, India","2020-06-27 00:01:53.0","0","0","1","0","ON ROAD","stopEvent,locationEvent","MH14BT3408"
"PALGHAR","NALASOPARA","40","183"," ","869247045742134","MSH4, Palghar, Maharashtra, 401400, India","2020-06-27 00:01:52.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH14BT1737"
"RAIGAD","PEN","43","190"," ","862818041625007","PEN Depot","2020-06-27 00:01:52.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH20BL1581"
"CHANDRAPUR","CHANDRAPUR","14","55"," ","862818047856499","GHUGGUS FATA / PADOLI - Bus Stop","2020-06-27 00:01:51.0","0","0","1","1","ON ROAD","stopEvent,locationEvent,unauthorizedStopAlert","MH07C9159"
"NANDED","BHOKAR","35","29"," ","862818040287270","Bhokar, Nānded, Nanded, Maharashtra, 431800, India","2020-06-27 00:01:51.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH13CU8653"
"SATARA","SATARA","50","257"," ","868997036862660","SATARA Depot","2020-06-27 00:01:51.0","0","1","1","1","ON ROAD","stopEvent,locationEvent","MH14BT1289"
"OSMANABAD","TULJAPUR","37","264"," ","862818047904067","TULJAPUR Depot","2020-06-27 00:01:51.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH20BL4224"
"SOLAPUR","AKLUJ","46","6"," ","862818047885886","Akluj, Solapur, Maharashtra, 413101, India","2020-06-27 00:01:49.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH12CH7680"
"RAIGAD","MURUD","43","163"," ","868997036653309","Murud bus station, Revdanda Murud Road, Murud, Kulāba, Raigad, Maharashtra, 402400, India","2020-06-27 00:01:48.0","0","1","1","1","OFF ROAD","locationEvent,stopEvent","MH20BL3229"
"JALGAON","JALGAON","23","103"," ","869247044597505","JALGAON Depot","2020-06-27 00:01:46.0","0","0","1","1","ON ROAD","locationEvent,stopEvent","MH13CU6734"
"RAIGAD","ALIBAG","43","13"," ","862818040281521","ALIBAG Depot","2020-06-27 00:01:45.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH20BL2451"
"WARDHA","ARVI","53","20"," ","862818047818945","Wardha, Maharashtra, India","2020-06-27 00:01:45.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH40Y5624"
"AHMADNAGAR","SANGAMNER","4","244"," ","862818040405542","SANGAMNER Depot","2020-06-27 00:01:44.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH14BT3825"
"SOLAPUR","AKKALKOT","46","7"," ","862818043710781","NH548E, Bhalavani, Solapur, Maharashtra, 413310, India","2020-06-27 00:01:43.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH14BT0574"
"PALGHAR","VASAI","40","285"," ","862818047809381","Vasai Road, Vasai, Palghar, Maharashtra, 401200, India","2020-06-27 00:01:43.0","0","0","1","1","ON ROAD","stopEvent,locationEvent","MH20D8675"
"MUMBAI","PAREL MUMBAI","32","205"," ","867322031197379","PAREL - Bus Stop","2020-06-27 00:01:43.0","0","0","1","0","ON ROAD","locationEvent,stopEvent","MH20BL2759"
"NASIK","IGATPURI","36","96"," ","867322030900674","Old Agra Road, Igatpuri, नाशिक, Nashik, Maharashtra, India","2020-06-27 00:01:42.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH40Y5822"
"NANDED","NANDED ","35","176"," ","869247044663729","Nanded Bus Stand, MAHA11, Nanded-Waghala, Nānded, Nanded, Maharashtra, 431600, India","2020-06-27 00:01:42.0","0","0","1","1","ON ROAD","stopEvent,unauthorizedStopAlert,locationEvent","MH13CU7372"
"MUMBAI","PAREL MUMBAI","32","205"," ","867322031070972","PAREL - Bus Stop","2020-06-27 00:01:42.0","0","0","1","1","ON ROAD","locationEvent,tiltAlert,unauthorizedStopAlert,stopEvent","MH06S9470"
"SATARA","SATARA","50","257"," ","868996035031475","SATARA Depot","2020-06-27 00:01:40.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH14BT2920"
"AHMADNAGAR","SANGAMNER","4","244"," ","862818040401947","SANGAMNER Depot","2020-06-27 00:01:40.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH40AQ6431"
"THANE","MURBAD","51","162"," ","862818040402200","MURBAD Depot","2020-06-27 00:01:40.0","0","1","1","1","ON ROAD","locationEvent,stopEvent","MH20BL3545"
"MUMBAI","URAN","32","277"," ","862818041739188","URAN Depot","2020-06-27 00:01:39.0","0","0","1","0","AT DWS","locationEvent,stopEvent","MH14BT2285"
"AURANGABAD","AURANGABAD II","5","19"," ","869247044523790","Aurangabad Central Bus Station, Bus Station Road, Guatam Nagar, Cantonment, Aurangabad, Maharashtra, 431002, India","2020-06-27 00:01:39.0","0","1","1","1","ON ROAD","locationEvent,unauthorizedStopAlert,stopEvent","MH14BT1825"
"AHMADNAGAR","PATHARDI","4","216"," ","869247045902787","Pathardi, Ahmadnagar, Ahmednagar, Maharashtra, 414102, India","2020-06-27 00:01:39.0","0","0","1","0","ON ROAD","locationEvent,stopEvent,unauthorizedStopAlert","MH14BT0713"
"SATARA","SATARA","50","257"," ","868996034795880","SATARA Depot","2020-06-27 00:01:39.0","0","1","1","1","ON ROAD","stopEvent,locationEvent,tiltAlert","MH11BL9288"
"MUMBAI","KURLA NEHRU NAGAR","32","124"," ","867322031196843","KURLA NEHRU NAGAR Depot","2020-06-27 00:01:38.0","0","1","1","1","AT DWS","locationEvent","MH14BT3960"
